Entrez ID,Gene Symbol,Oncogene Score,p-value,LogFC
9040,UBE2M,0.0896684,7.19e-10,3.51718
10963,STIP1,0.0502482,7.2e-10,4.11192
7070,THY1,0.0821712,8e-10,3.41373
64087,MCCC2,0.0182231,8.31e-10,3.37388
10362,HMG20B,0.0158919,9.19e-10,3.01097
7416,VDAC1,0.111449,9.23e-10,3.0422
8639,AOC3,0.0624679,1e-09,-3.63335
79718,TBL1XR1,0.579481,1.02e-09,3.20018
55504,TNFRSF19,0.0239833,1.03e-09,3.40688
55000,TUG1,0.10622,1.05e-09,3.12376
18,ABAT,0.0813123,1.08e-09,3.23891
8424,BBOX1,0.04958,1.08e-09,-3.76764
6674,SPAG1,0.0821708,1.09e-09,3.07922
56521,DNAJC12,0.074761,1.1e-09,4.59159
167153,PAPD4,,1.19e-09,3.04985
23355,VPS8,,1.23e-09,3.34956
2023,ENO1,0.114803,1.29e-09,4.93412
5230,PGK1,0.117057,1.32e-09,3.59064
1910,EDNRB,0.102193,1.4e-09,-3.33611
8763,CD164,0.0842591,1.42e-09,3.06329
51085,MLXIPL,0.206698,1.43e-09,-3.0089
5328,PLAU,0.109663,1.46e-09,4.61343
8775,NAPA,,1.48e-09,3.0104
572558,PGM5-AS1,,1.51e-09,-3.54412
9643,MORF4L2,0.048687,1.63e-09,3.43622
83666,PARP9,0.0979968,1.63e-09,3.17313
414062,CCL3L3,0.00828742,1.65e-09,3.38231
10857,PGRMC1,0.111999,1.71e-09,3.18759
79192,IRX1,0.0625023,1.76e-09,-5.08591
4016,LOXL1,0.0965481,1.81e-09,3.2206
5649,RELN,0.0875796,1.82e-09,-4.34142
23499,MACF1,0.0213646,1.86e-09,3.41855
25802,LMOD1,0.0342546,1.87e-09,-3.3867
23543,RBFOX2,0.0324355,1.87e-09,3.15746
55198,APPL2,0.0166927,1.94e-09,3.35681
693197,MIR612,,2.09e-09,3.56527
1756,DMD,0.0910191,2.19e-09,-3.50159
9126,SMC3,0.00732186,2.28e-09,3.54745
9517,SPTLC2,,2.32e-09,3.19243
11197,WIF1,0.548144,2.4e-09,-5.57572
7707,ZNF148,0.0974165,2.53e-09,3.15136
5339,PLEC,0.292275,2.58e-09,3.24566
24141,LAMP5,0.00612019,2.65e-09,4.24383
10894,LYVE1,0.0724206,2.69e-09,-3.56735
125,ADH1B,0.0691995,2.71e-09,-3.35758
387,RHOA,0.44523,2.8e-09,4.61456
83988,NCALD,0.100699,2.97e-09,-3.54207
57221,ARFGEF3,0.0945596,3.15e-09,3.02345
26577,PCOLCE2,0.0259555,3.21e-09,-4.91873
5284,PIGR,0.122418,3.26e-09,-7.8782
56650,CLDND1,0.0380386,3.29e-09,3.42873
3783,KCNN4,0.410677,3.54e-09,-3.45715
101929780,NBPF25P,,3.55e-09,3.13686
79048,SECISBP2,,3.62e-09,3.24341
3688,ITGB1,0.179131,3.63e-09,3.43881
972,CD74,0.395024,3.91e-09,3.36007
5445,PON2,0.0450687,3.95e-09,3.47151
92304,SCGB3A1,0.0703186,4.12e-09,-5.59413
10763,NES,0.102037,4.53e-09,-3.13139
1857,DVL3,0.0278749,4.57e-09,3.1281
9413,FAM189A2,,4.71e-09,-3.81864
100506558,LOC100506558,,4.73e-09,-4.28107
11185,INMT,0.00937359,4.82e-09,-3.5048
8038,ADAM12,0.103647,4.93e-09,3.88666
56963,RGMA,0.0481876,4.99e-09,-3.0184
3991,LIPE,0.0230398,5.07e-09,-3.16785
8436,SDPR,,5.68e-09,-4.32334
8301,PICALM,0.287581,5.72e-09,3.71605
85390,SNORD14D,,5.74e-09,3.38372
7177,TPSAB1,0.0126429,5.76e-09,4.72376
1665,DHX15,0.0784239,6.46e-09,3.40393
678,ZFP36L2,0.0337857,6.67e-09,3.65681
230,ALDOC,0.0818527,6.78e-09,-3.14077
9135,RABEP1,0.277088,7.21e-09,3.20133
91966,CXorf40A,,7.36e-09,3.10859
7320,UBE2B,0.0561806,7.42e-09,3.29018
7079,TIMP4,0.0500957,7.6e-09,-4.8754
9370,ADIPOQ,0.12372,7.6e-09,-6.95697
26090,ABHD12,0.0353951,7.66e-09,3.03953
127933,UHMK1,0.00676881,7.73e-09,3.70728
1847,DUSP5,0.0556122,8.45e-09,3.98704
1727,CYB5R3,0.00791688,8.56e-09,3.49649
7153,TOP2A,0.692934,8.67e-09,3.76706
196051,PLPP4,0.0975917,9.5e-09,4.22785
2203,FBP1,0.105308,9.85e-09,3.10307
3329,HSPD1,0.0983901,1.02e-08,3.01061
2167,FABP4,0.127207,1.02e-08,-5.22784
1291,COL6A1,0.101094,1.02e-08,3.30925
286343,LURAP1L,0.0186638,1.06e-08,3.18514
5346,PLIN1,0.0960782,1.07e-08,-5.63314
727936,GXYLT2,0.00295664,1.1e-08,4.86651
25891,PAMR1,0.0311043,1.12e-08,-3.40703
1295,COL8A1,0.095538,1.15e-08,4.34072
54145,H2BFS,,1.16e-08,4.47732
64499,TPSB2,0.00406538,1.16e-08,4.76616
440823,MIAT,0.107729,1.16e-08,3.88762
730051,ZNF814,,1.22e-08,3.22579
9358,ITGBL1,0.0275471,1.36e-08,3.36577
8407,TAGLN2,0.0958748,1.38e-08,3.32828
26509,MYOF,0.0955409,1.45e-08,3.74666
116362,RBP7,0.103418,1.45e-08,-4.19946
1296,COL8A2,0.0151989,1.48e-08,3.22129
79581,SLC52A2,0.104138,1.74e-08,3.20302
27161,AGO2,0.110068,1.93e-08,3.00784
1520,CTSS,0.105376,2.03e-08,3.24756
10180,RBM6,0.0407227,2.03e-08,4.04984
81539,SLC38A1,0.102864,2.05e-08,4.01681
723790,HIST2H2AA4,,2.12e-08,3.91584
285097,LOC285097,,2.13e-08,4.79792
22795,NID2,0.0253596,2.22e-08,3.18816
50486,G0S2,0.103873,2.28e-08,-4.74761
