col1,col2
fu:7f70d17efa90142ca77a409f0c4e42ab5b836174a5abbfe3f603ec7f31636bac,RAC3
fu:7f70d17efa90142ca77a409f0c4e42ab5b836174a5abbfe3f603ec7f31636bac,CDC42
fu:cde18ec7f1018c3c86907179b8598407aadb36c2e3d26b49b9b097e7f1beca6e,PAK1
fu:cde18ec7f1018c3c86907179b8598407aadb36c2e3d26b49b9b097e7f1beca6e,PAK2
fu:379625cf06357b4b29b1d55e785c1e28d82490773419743bc08dd1e8bd916bc3,MAP3K2
fu:379625cf06357b4b29b1d55e785c1e28d82490773419743bc08dd1e8bd916bc3,MAP3K3
fu:e20f673cdbe78e5034978bf2aec75777804c53a479173e0bfb1dd7a521e6e848,MAPK8IP2
fu:e20f673cdbe78e5034978bf2aec75777804c53a479173e0bfb1dd7a521e6e848,MAPK8IP1
fu:f44c4d5b4226c60553d0f6903611ae990e52aba4907f1f988ae6d1ccfc96f64c,MAP3K11
fu:cab4c0dfaf176f821d8da5295bab1d724f6d2a7c5161cdb80ef9bde2fcb4ce75,MAP2K7
fu:93aad4ff610522c3ba3481ba5492db8cf4c58ced3f174bd6c54b20f38b650811,MAPK8
fu:93aad4ff610522c3ba3481ba5492db8cf4c58ced3f174bd6c54b20f38b650811,MAPK9
fu:93aad4ff610522c3ba3481ba5492db8cf4c58ced3f174bd6c54b20f38b650811,MAPK10
fu:75b95b749ca9ff695ba1ecaad0e211429ecaf95e6593eb65a1570213726335da,MAP2K4
fu:24c02a9cb276f47b5796c2fc03e071e00f423adddf7dd360f2117a7be79dc85e,CRK
fu:24c02a9cb276f47b5796c2fc03e071e00f423adddf7dd360f2117a7be79dc85e,CRKL
fu:712d3f2e307960712f8f7ac892448bd5ad630cae9b7dd97ace1239619c801efe,ARRB1
fu:712d3f2e307960712f8f7ac892448bd5ad630cae9b7dd97ace1239619c801efe,ARRB2
fu:119a02db8768ceadfa489122d36db5b603659dcd389dbcf9865822153e9b6444,MECOM
fu:01884b0bfdcf66b05b497ff9b30c888f71b830761896fa8e89417b95184f5887,HSPA1A
fu:01884b0bfdcf66b05b497ff9b30c888f71b830761896fa8e89417b95184f5887,HSPA1B
fu:01884b0bfdcf66b05b497ff9b30c888f71b830761896fa8e89417b95184f5887,HSPA1L
fu:01884b0bfdcf66b05b497ff9b30c888f71b830761896fa8e89417b95184f5887,HSPA6
fu:01884b0bfdcf66b05b497ff9b30c888f71b830761896fa8e89417b95184f5887,HSPA8
fu:7417886e9b78d222bf76013510b68facd9af928d820275a2630d2ba7a81fe4e0,JUND
fu:f586a471f3c6e2af967760b25d2ed62d4a51518fedb409cf8d531cbbe2c26571,FOS
fu:f586a471f3c6e2af967760b25d2ed62d4a51518fedb409cf8d531cbbe2c26571,JUN
fu:c72347a55259e53ea590f60265fd56b19d8b036a58cfce375b71fab05fcdaba7,NFATC3
fu:831688651754a31459e25059fa08a0fc4eb62265a6ec20f0cffd7edf13b27f09,NFATC1
fu:5967974e6c51ae9a416c13856c81a3c246da5ea58e14acb820579117ad3a396d,PPP3CA
fu:5967974e6c51ae9a416c13856c81a3c246da5ea58e14acb820579117ad3a396d,PPP3CB
fu:5967974e6c51ae9a416c13856c81a3c246da5ea58e14acb820579117ad3a396d,PPP3CC
fu:5967974e6c51ae9a416c13856c81a3c246da5ea58e14acb820579117ad3a396d,PPP3R1
fu:5967974e6c51ae9a416c13856c81a3c246da5ea58e14acb820579117ad3a396d,PPP3R2
fu:9db10e5dd5e606df1c6d82024a02825a4ad9d330f2e89c67e2675dfb21f20456,MAPK8IP3
fu:1b3dbcb87d2db0a8cec37777b136cb88c0927a5376660e801d81733e29df0b54,FLNA
fu:a3f2663b5aa95d79437c936a473af8d38654e8e751e07eb3a2ceed2d799c8741,MAP3K1
fu:7edb4bc0989a78ab2f3c7aa4c9c5513820d48df0e51b3c7534b3b43a973bf331,MAP3K8
fu:323518dc763dadc1e277c74122e9b3b085639abe76d024c1ad0765b21ee8f554,MAP4K1
fu:2e0adbfe408d82b32ac46cefc7a79593a21d7a7230f6a6a7355fd21a63264e33,MAP4K3
fu:5c3f19b6b6afc7965298124bc3ff079a2dc95b1381cd495b44bd15b1d9bd90ab,FOS
fu:89c532737e78ce58a2a94fb6ef993106ebe40f26c0185c543369f5ff5d6fcf1d,SRF
fu:852e63fe5a79f0e72a09cb4e9301ed0742c224033cf0ba77fe747dc2d1b60e39,MYC
