#node1,node2,node1_string_id,node2_string_id,combined_score
AKT2,CREB3L2,9606.ENSP00000375892,9606.ENSP00000329140,0.657
AKT2,HSP90AA1,9606.ENSP00000375892,9606.ENSP00000335153,0.948
AKT2,ATF4,9606.ENSP00000375892,9606.ENSP00000336790,0.684
AKT2,CREB3,9606.ENSP00000375892,9606.ENSP00000342136,0.682
AKT2,ESR2,9606.ENSP00000375892,9606.ENSP00000343925,0.419
AKT2,CREB5,9606.ENSP00000375892,9606.ENSP00000350359,0.689
AKT2,NRAS,9606.ENSP00000375892,9606.ENSP00000358548,0.499
AKT2,JUN,9606.ENSP00000375892,9606.ENSP00000360266,0.967
AKT2,HSP90AB1,9606.ENSP00000375892,9606.ENSP00000360609,0.946
AKT2,SRC,9606.ENSP00000375892,9606.ENSP00000362680,0.829
AKT2,ATF6B,9606.ENSP00000375892,9606.ENSP00000364349,0.672
AKT2,PIK3CD,9606.ENSP00000375892,9606.ENSP00000366563,0.962
AKT2,CALML5,9606.ENSP00000375892,9606.ENSP00000369689,0.713
AKT2,GRB2,9606.ENSP00000375892,9606.ENSP00000376345,0.439
AKT2,SHC1,9606.ENSP00000375892,9606.ENSP00000401303,0.486
AKT2,HRAS,9606.ENSP00000375892,9606.ENSP00000407586,0.501
AKT2,ESR1,9606.ENSP00000375892,9606.ENSP00000405330,0.616
AKT2,CREB3L1,9606.ENSP00000375892,9606.ENSP00000481956,0.652
AKT2,FKBP5,9606.ENSP00000375892,9606.ENSP00000444810,0.686
AKT2,CALML4,9606.ENSP00000375892,9606.ENSP00000419081,0.706
AKT2,CREB1,9606.ENSP00000375892,9606.ENSP00000387699,0.858
AKT2,RAF1,9606.ENSP00000375892,9606.ENSP00000401888,0.923
AKT2,BCL2,9606.ENSP00000375892,9606.ENSP00000381185,0.95
AKT2,AKT3,9606.ENSP00000375892,9606.ENSP00000500582,0.965
AKT2,PIK3R1,9606.ENSP00000375892,9606.ENSP00000428056,0.979
AKT2,PIK3CB,9606.ENSP00000375892,9606.ENSP00000501150,0.983
AKT3,CREB3L3,9606.ENSP00000500582,9606.ENSP00000078445,0.655
AKT3,MAPK1,9606.ENSP00000500582,9606.ENSP00000215832,0.927
AKT3,PIK3R2,9606.ENSP00000500582,9606.ENSP00000222254,0.967
AKT3,KRAS,9606.ENSP00000500582,9606.ENSP00000256078,0.566
AKT3,PIK3R3,9606.ENSP00000500582,9606.ENSP00000262741,0.973
AKT3,MAPK3,9606.ENSP00000500582,9606.ENSP00000263025,0.928
AKT3,PIK3CA,9606.ENSP00000500582,9606.ENSP00000263967,0.984
AKT3,ATF2,9606.ENSP00000500582,9606.ENSP00000264110,0.693
AKT3,CREB3L4,9606.ENSP00000500582,9606.ENSP00000271889,0.702
AKT3,NOS3,9606.ENSP00000500582,9606.ENSP00000297494,0.917
AKT3,HSP90B1,9606.ENSP00000500582,9606.ENSP00000299767,0.93
AKT3,CREB3L2,9606.ENSP00000500582,9606.ENSP00000329140,0.677
AKT3,PRKCD,9606.ENSP00000500582,9606.ENSP00000331602,0.455
AKT3,HSP90AA1,9606.ENSP00000500582,9606.ENSP00000335153,0.954
AKT3,ATF4,9606.ENSP00000500582,9606.ENSP00000336790,0.676
AKT3,CREB3,9606.ENSP00000500582,9606.ENSP00000342136,0.703
AKT3,CREB5,9606.ENSP00000500582,9606.ENSP00000350359,0.755
AKT3,NRAS,9606.ENSP00000500582,9606.ENSP00000358548,0.564
AKT3,JUN,9606.ENSP00000500582,9606.ENSP00000360266,0.941
AKT3,HSP90AB1,9606.ENSP00000500582,9606.ENSP00000360609,0.956
AKT3,SRC,9606.ENSP00000500582,9606.ENSP00000362680,0.647
AKT3,ATF6B,9606.ENSP00000500582,9606.ENSP00000364349,0.664
AKT3,PIK3CD,9606.ENSP00000500582,9606.ENSP00000366563,0.95
AKT3,BCL2,9606.ENSP00000500582,9606.ENSP00000381185,0.947
AKT3,SOS1,9606.ENSP00000500582,9606.ENSP00000384675,0.42
AKT3,CREB1,9606.ENSP00000500582,9606.ENSP00000387699,0.765
AKT3,SHC1,9606.ENSP00000500582,9606.ENSP00000401303,0.417
AKT3,RAF1,9606.ENSP00000500582,9606.ENSP00000401888,0.922
AKT3,ESR1,9606.ENSP00000500582,9606.ENSP00000405330,0.429
AKT3,HRAS,9606.ENSP00000500582,9606.ENSP00000407586,0.47
AKT3,PIK3R1,9606.ENSP00000500582,9606.ENSP00000428056,0.977
AKT3,CREB3L1,9606.ENSP00000500582,9606.ENSP00000481956,0.671
AKT3,PIK3CB,9606.ENSP00000500582,9606.ENSP00000501150,0.964
ATF2,CREB3L3,9606.ENSP00000264110,9606.ENSP00000078445,0.907
ATF2,MAPK1,9606.ENSP00000264110,9606.ENSP00000215832,0.973
ATF2,MAPK3,9606.ENSP00000264110,9606.ENSP00000263025,0.903
ATF2,ESR1,9606.ENSP00000264110,9606.ENSP00000405330,0.614
ATF2,PRKACG,9606.ENSP00000264110,9606.ENSP00000366488,0.776
ATF2,PRKACA,9606.ENSP00000264110,9606.ENSP00000309591,0.777
ATF2,PRKACB,9606.ENSP00000264110,9606.ENSP00000359719,0.782
ATF2,CREB3L1,9606.ENSP00000264110,9606.ENSP00000481956,0.903
ATF2,CREB3L2,9606.ENSP00000264110,9606.ENSP00000329140,0.906
ATF2,CREB3L4,9606.ENSP00000264110,9606.ENSP00000271889,0.913
ATF2,ATF6B,9606.ENSP00000264110,9606.ENSP00000364349,0.919
ATF2,ATF4,9606.ENSP00000264110,9606.ENSP00000336790,0.932
ATF2,CREB3,9606.ENSP00000264110,9606.ENSP00000342136,0.95
ATF2,CREB1,9606.ENSP00000264110,9606.ENSP00000387699,0.986
ATF2,CREB5,9606.ENSP00000264110,9606.ENSP00000350359,0.989
ATF2,FOS,9606.ENSP00000264110,9606.ENSP00000306245,0.99
ATF2,JUN,9606.ENSP00000264110,9606.ENSP00000360266,0.999
ATF4,CREB3L3,9606.ENSP00000336790,9606.ENSP00000078445,0.935
ATF4,MAPK1,9606.ENSP00000336790,9606.ENSP00000215832,0.702
ATF4,MAPK3,9606.ENSP00000336790,9606.ENSP00000263025,0.75
ATF4,CREB3L4,9606.ENSP00000336790,9606.ENSP00000271889,0.929
ATF4,FOS,9606.ENSP00000336790,9606.ENSP00000306245,0.831
ATF4,PRKACA,9606.ENSP00000336790,9606.ENSP00000309591,0.926
ATF4,CREB3L2,9606.ENSP00000336790,9606.ENSP00000329140,0.927
ATF4,GABBR1,9606.ENSP00000336790,9606.ENSP00000366233,0.554
ATF4,CREB5,9606.ENSP00000336790,9606.ENSP00000350359,0.921
ATF4,PRKACB,9606.ENSP00000336790,9606.ENSP00000359719,0.925
