Node ID,Node Description,Node Type
Waterhouse-Friderichsen_Syndrome,Waterhouse-Friderichsen Syndrome,symptom
Striae_Distensae,Striae Distensae,symptom
Dysuria,Dysuria,symptom
Hypercalciuria,Hypercalciuria,symptom
Nocturia,Nocturia,symptom
Oliguria,Oliguria,symptom
Polyuria,Polyuria,symptom
Prostatism,Prostatism,symptom
Proteinuria,Proteinuria,symptom
Albuminuria,Albuminuria,symptom
Hemoglobinuria,Hemoglobinuria,symptom
Urinary_Bladder__Overactive,"Urinary Bladder, Overactive",symptom
Urinary_Incontinence,Urinary Incontinence,symptom
Urinary_Incontinence__Stress,"Urinary Incontinence, Stress",symptom
Urinary_Incontinence__Urge,"Urinary Incontinence, Urge",symptom
Urinoma,Urinoma,symptom
Virilism,Virilism,symptom
Hirsutism,Hirsutism,symptom
MESH:D015464,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",disease
MESH:D018860,Sneddon Syndrome,disease
MESH:C535729,Dyschromatosis symmetrica hereditaria 1,disease
MESH:C535607,Aicardi-Goutieres syndrome,disease
MESH:C562618,"Porphyria, Acute Hepatic",disease
MESH:D015179,Colorectal Neoplasms,disease
MESH:C535944,"Desmoid disease, hereditary",disease
MESH:D013274,Stomach Neoplasms,disease
MESH:D011125,Adenomatous Polyposis Coli,disease
MESH:D006528,"Carcinoma, Hepatocellular",disease
MESH:D054429,"Leukemia, Myelomonocytic, Juvenile",disease
MESH:D009190,Myelodysplastic Syndromes,disease
MESH:C537419,Bohring syndrome,disease
MESH:D001943,Breast Neoplasms,disease
MESH:D001260,Ataxia Telangiectasia,disease
MESH:C563023,Alpha-Thalassemia Myelodysplasia Syndrome,disease
MESH:C538258,ATR-X syndrome,disease
MESH:C537457,"Mental retardation-hypotonic facies syndrome, x-linked, 1",disease
MESH:D054198,Precursor Cell Lymphoblastic Leukemia-Lymphoma,disease
MESH:D001816,Bloom Syndrome,disease
MESH:D009634,Noonan Syndrome,disease
MESH:D008175,Lung Neoplasms,disease
MESH:D000096142,"Melanoma, Cutaneous Malignant",disease
MESH:C535579,Cardiofaciocutaneous syndrome,disease
MESH:D010190,Pancreatic Neoplasms,disease
MESH:D008527,Medulloblastoma,disease
MESH:C563980,"Fanconi Anemia, Complementation Group D1",disease
MESH:D009396,Wilms Tumor,disease
MESH:D011471,Prostatic Neoplasms,disease
