Entrez ID,Gene Symbol,LogFC,p-value,Oncogene Score
54442,KCTD5,2.6053,6.81905e-10,0.0801355
79666,PLEKHF2,2.98404,8.75768e-10,0.00626298
55323,LARP6,-2.35416,1.61489e-05,0.0827891
8322,FZD4,-2.63513,1.33354e-05,0.0969791
10763,NES,-2.94666,1.80528e-09,0.102037
55214,LEPREL1,-2.44329,1.2233e-05,
54873,PALMD,-2.75175,0.000499859,0.0299441
29028,ATAD2,4.48503,0.000361471,0.0922095
10451,VAV3,4.33772,5.41233e-07,0.0882837
51162,EGFL7,-2.36793,2.36825e-08,0.0380021
64757,MARC1,-2.88856,2.19192e-05,
51728,POLR3K,3.56771,1.82044e-09,0.0104517
54997,TESC,-4.44958,1.02129e-07,0.0530878
79682,CENPU,3.16921,6.36434e-06,0.107074
9317,PTER,3.13465,3.25749e-08,0.00515359
56521,DNAJC12,3.42379,0.000925011,0.074761
55500,ETNK1,3.55113,0.000166483,0.509671
55435,AP1AR,2.56699,1.18319e-06,0.00600384
10894,LYVE1,-4.03838,2.36329e-05,0.0724206
54829,ASPN,4.31156,1.22234e-06,0.0797407
55022,PID1,-2.72192,1.15023e-08,0.191173
57103,C12orf5,2.69832,2.29981e-06,
54845,ESRP1,4.57252,1.43603e-09,0.111273
5950,RBP4,-7.52572,0.000150911,0.122224
55273,TMEM100,-4.39841,4.71976e-05,0.0788498
26577,PCOLCE2,-6.02577,4.71635e-05,0.0259555
10678,B3GNT2,2.96205,8.70946e-07,0.0122246
55033,FKBP14,2.62823,8.33074e-08,0.0183917
63924,CIDEC,-6.70992,0.000142917,0.021905
65987,KCTD14,-2.71372,5.93262e-07,0.0352787
64221,ROBO3,-2.85037,1.78405e-10,0.0516087
757,TMEM50B,2.46288,1.66884e-09,
79183,TTPAL,2.41608,1.59025e-06,0.0110874
80223,RAB11FIP1,2.68725,0.000523244,0.039605
56920,SEMA3G,-3.69761,5.25751e-08,0.0169881
54847,SIDT1,2.57573,1.92933e-06,0.0881966
1894,ECT2,2.90254,6.56956e-09,0.115334
11254,SLC6A14,-3.53564,7.24838e-06,0.0885813
11096,ADAMTS5,-3.43258,6.05361e-18,0.0523067
54922,RASIP1,-2.99144,2.01418e-16,0.00837404
80127,CCDC176,3.07624,4.24187e-05,
79966,SCD5,-3.91938,1.11315e-14,0.0914925
55791,LRIF1,2.91422,2.91306e-07,
27190,IL17B,-2.54095,0.000110192,0.0662128
79785,RERGL,-3.15769,5.75991e-05,0.0104314
80267,EDEM3,2.50499,0.000451957,0.00524958
63970,TP53AIP1,-2.44964,3.38014e-08,0.0938126
152015,ROPN1B,-4.1255,2.80315e-07,0.00526138
29058,TMEM230,2.96239,2.44042e-08,0.00905471
55567,DNAH3,-3.054,1.69673e-11,0.00552317
55679,LIMS2,-2.80544,6.07578e-11,0.00656847
80215,RUNX1-IT1,2.82021,8.57907e-05,
114899,C1QTNF3,2.62456,0.000193742,0.0364648
51129,ANGPTL4,-4.08632,2.38157e-11,0.125318
81031,SLC2A10,3.19189,1.69814e-05,0.0150711
50807,ASAP1,2.44242,4.43156e-07,0.108145
26503,SLC17A5,2.8124,3.78142e-05,0.0647005
55798,METTL2A,2.37156,3.05483e-10,0.0266905
51085,MLXIPL,-3.83573,2.14004e-05,0.206698
54964,C1orf56,2.33556,6.34874e-06,0.00364977
81537,SGPP1,2.67659,0.000691554,0.0739926
1149,CIDEA,-5.40571,0.000147028,0.0163509
