Gene Symbol Origin,Gene Symbol Target,Correlation,p-value,FDR
LOXL1,STK38,0.593,0.000696739,0.0248153
BRCC3,SCOC,0.593,0.000696739,0.0248153
HSP90AB1,NIPBL,0.593,0.000696739,0.0248153
CFL1,PGRMC1,0.593,0.000696739,0.0248153
PSMD10,SCARB2,0.593,0.000696739,0.0248153
KCTD14,TRIM29,0.593,0.000696739,0.0248153
MARC1,ROBO4,0.593,0.000696739,0.0248153
C1QTNF6,GJB2,0.593,0.000696739,0.0248153
BGN,GXYLT2,0.593,0.000696739,0.0248153
DPY19L2P2,THY1,-0.593,0.000705758,0.02499
CLEC3B,VAV3,-0.593,0.000705758,0.02499
F2RL2,PSENEN,-0.593,0.000705758,0.02499
C1S,MLXIPL,-0.593,0.000705758,0.02499
ADH1C,RNF150,0.593,0.000705758,0.02499
MFGE8,THY1,0.593,0.000705758,0.02499
KANK3,RASIP1,0.593,0.000705758,0.02499
ADAMTS5,SFRP2,0.593,0.000705758,0.02499
BZW1,SLC33A1,0.593,0.000705758,0.02499
BZW1,C16orf72,0.593,0.000705758,0.02499
SLC30A5,UBE2M,0.593,0.000705758,0.02499
FAM13A-AS1,PEAR1,0.593,0.000705758,0.02499
FAM13A-AS1,PPP1R14A,0.593,0.000705758,0.02499
ARHGEF15,SLC29A4,0.593,0.000705758,0.02499
GNAI3,LAPTM4B,0.593,0.000705758,0.02499
COMMD10,DNAJC10,0.593,0.000705758,0.02499
APCDD1,SYNM,0.593,0.000705758,0.02499
ADAMTS5,TNXA,0.593,0.000705758,0.02499
KRT15,SOX10,0.593,0.000705758,0.02499
HSPB2,IGFBP6,0.593,0.000705758,0.02499
GLUL,SRSF3,0.593,0.000705758,0.02499
COMMD10,DDA1,0.593,0.000705758,0.02499
LYPLA1,SCARB2,0.593,0.000705758,0.02499
CD9,SEPT2,0.593,0.000705758,0.02499
COL6A1,INHBA,0.593,0.000705758,0.02499
COL3A1,INHBA,0.593,0.000705758,0.02499
ASCC1,JAK1,0.593,0.000705758,0.02499
CDC5L,HNRNPF,0.593,0.000705758,0.02499
ARFIP1,RHOB,0.593,0.000705758,0.02499
PDE9A,RAPGEF3,0.593,0.000705758,0.02499
MFGE8,SOX10,0.593,0.000705758,0.02499
PLIN4,SAA1,0.593,0.000705758,0.02499
FXYD1,PPP1R14A,0.593,0.000705758,0.02499
DNAJC3,FOXA1,0.593,0.000705758,0.02499
C12orf75,COL12A1,0.593,0.000705758,0.02499
BAG2,SLC2A13,0.593,0.000705758,0.02499
GREM1,SCGB3A1,-0.592,0.000714879,0.0252151
CTHRC1,NAT1,-0.592,0.000714879,0.0252151
EZR,HCAR3,-0.592,0.000714879,0.0252151
CES1,MFGE8,0.592,0.000714879,0.0252151
SERINC3,TSPAN31,0.592,0.000714879,0.0252151
CTHRC1,RAB31,0.592,0.000714879,0.0252151
ACACB,MID1,0.592,0.000714879,0.0252151
PIGR,WIF1,0.592,0.000714879,0.0252151
ESRP1,SLC33A1,0.592,0.000714879,0.0252151
EIF4A2,GNB1,0.592,0.000714879,0.0252151
RAD21,UBE2M,0.592,0.000714879,0.0252151
ATP6V1A,PSMD10,0.592,0.000714879,0.0252151
FIGF,SEMA3G,0.592,0.000714879,0.0252151
DMD,NES,0.592,0.000714879,0.0252151
CNN1,KRT14,0.592,0.000714879,0.0252151
OXTR,SOX10,0.592,0.000714879,0.0252151
NREP,SRSF3,0.592,0.000714879,0.0252151
ARF4,LAPTM4B,0.592,0.000714879,0.0252151
ANXA9,DEGS2,0.592,0.000714879,0.0252151
DCTN4,PGRMC1,0.592,0.000714879,0.0252151
LARP6,MAMDC2,0.592,0.000714879,0.0252151
GABRP,MAMDC2,0.592,0.000714879,0.0252151
AGPAT9,ID4,0.592,0.000714879,0.0252151
COL12A1,KDELR3,0.592,0.000714879,0.0252151
ARHGEF15,ARPC5,-0.592,0.000724103,0.0254175
ACSS2,CTHRC1,-0.592,0.000724103,0.0254175
CAPN3,EDEM3,-0.592,0.000724103,0.0254175
FKBP14,SAA2-SAA4,-0.592,0.000724103,0.0254175
ARHGEF28,TGFB1,-0.592,0.000724103,0.0254175
LOC100507311,MFSD4,0.592,0.000724103,0.0254175
FAM13A-AS1,TF,0.592,0.000724103,0.0254175
FMO2,MIA,0.592,0.000724103,0.0254175
NR3C2,TF,0.592,0.000724103,0.0254175
CD36,SLIT3,0.592,0.000724103,0.0254175
DMD,SAA1,0.592,0.000724103,0.0254175
CCL28,SLPI,0.592,0.000724103,0.0254175
ASPN,RP1-193H18.2,0.592,0.000724103,0.0254175
BRCC3,DDX42,0.592,0.000724103,0.0254175
SCN4B,TMEM100,0.592,0.000724103,0.0254175
CCT2,PDGFA,0.592,0.000724103,0.0254175
STIP1,ZNF146,0.592,0.000724103,0.0254175
C2orf40,MFGE8,0.592,0.000724103,0.0254175
KRT14,PADI2,0.592,0.000724103,0.0254175
C14orf142,EIF4E,0.592,0.000724103,0.0254175
CNN3,TRIQK,0.592,0.000724103,0.0254175
ASCC1,CLIC4,0.592,0.000724103,0.0254175
ARF4,UBE2N,0.592,0.000724103,0.0254175
DMD,MFGE8,0.592,0.000724103,0.0254175
KLHL29,SYNPO2,0.592,0.000724103,0.0254175
CLDN5,PLAC9,0.592,0.000724103,0.0254175
IGFBP6,KLHL29,0.592,0.000724103,0.0254175
CTHRC1,SFRP2,0.592,0.000724103,0.0254175
CDH11,TNFRSF19,0.592,0.000724103,0.0254175
C12orf75,FN1,0.592,0.000724103,0.0254175
CIDEC,TMX1,-0.591,0.00073343,0.0256216
B3GNT2,PDE2A,-0.591,0.00073343,0.0256216
SCCPDH,VCAN,-0.591,0.00073343,0.0256216
ADAM12,DNAJC12,-0.591,0.00073343,0.0256216
ARHGEF28,YIF1B,-0.591,0.00073343,0.0256216
CNTNAP3,SLC29A4,-0.591,0.00073343,0.0256216
NES,RBP7,0.591,0.00073343,0.0256216
ADH1C,RASIP1,0.591,0.00073343,0.0256216
CD36,GPR146,0.591,0.00073343,0.0256216
APCDD1,NDC1,0.591,0.00073343,0.0256216
CDC42EP5,VCAN,0.591,0.00073343,0.0256216
ITGA7,PPP1R14A,0.591,0.00073343,0.0256216
GPX3,SEMA3G,0.591,0.00073343,0.0256216
FBP1,GPR160,0.591,0.00073343,0.0256216
DDX42,NAPA,0.591,0.00073343,0.0256216
C16orf13,SLC17A5,0.591,0.00073343,0.0256216
MTUS1,NIPBL,0.591,0.00073343,0.0256216
ADAMTS5,ITIH5,0.591,0.00073343,0.0256216
ABI1,HSP90AB1,0.591,0.00073343,0.0256216
KDM5B,USP21,0.591,0.00073343,0.0256216
BRCC3,CCT2,0.591,0.00073343,0.0256216
DCTD,OAZ2,0.591,0.00073343,0.0256216
GDI2,SCOC,0.591,0.00073343,0.0256216
RHOB,RIOK3,0.591,0.00073343,0.0256216
LAMP1,PIK3C2A,0.591,0.00073343,0.0256216
CLIC5,PALMD,0.591,0.00073343,0.0256216
HIP1,TTPAL,0.591,0.00073343,0.0256216
CPA3,CTHRC1,0.591,0.00073343,0.0256216
RP3-428L16.2,VCAN,0.591,0.00073343,0.0256216
C1QTNF6,KDELR3,0.591,0.00073343,0.0256216
CAPN3,LYPLA1,-0.591,0.000742863,0.0258069
ACVR1C,ROPN1B,-0.591,0.000742863,0.0258069
ADM,AGPAT9,0.591,0.000742863,0.0258069
CES1,MAMDC2,0.591,0.000742863,0.0258069
