ID	Gene.symbol	Gene.title	log2(fold change)	-log10(Pvalue)
205236_x_at	SOD3	superoxide dismutase 3, extracellular	-3.646	12.765
205321_at	EIF2S3	eukaryotic translation initiation factor 2 subunit gamma	3.548	7.205
205363_at	BBOX1	gamma-butyrobetaine hydroxylase 1	-3.768	10.236
205382_s_at	CFD	complement factor D	-4.774	12.628
205384_at	FXYD1	FXYD domain containing ion transport regulator 1	-4.063	11.556
205392_s_at	CCL15-CCL14///CCL14	CCL15-CCL14 readthrough (NMD candidate)///C-C motif chemokine ligand 14	-3.209	4.969
205422_s_at	ITGBL1	integrin subunit beta like 1	3.366	8.924
205425_at	HIP1	huntingtin interacting protein 1	3.163	12.977
205478_at	PPP1R1A	protein phosphatase 1 regulatory inhibitor subunit 1A	-4.905	11.815
205498_at	GHR	growth hormone receptor	-3.198	5.622
205552_s_at	OAS1	2'-5'-oligoadenylate synthetase 1	3.301	5.847
205588_s_at	FGFR1OP	FGFR1 oncogene partner	3.082	14.419
205593_s_at	PDE9A	phosphodiesterase 9A	-3.293	12.558
205597_at	SLC44A4	solute carrier family 44 member 4	5.851	23.051
205624_at	CPA3	carboxypeptidase A3	4.679	8.493
205683_x_at	TPSAB1	tryptase alpha/beta 1	4.43	8.866
205696_s_at	GFRA1	GDNF family receptor alpha 1	4.404	6.271
205713_s_at	COMP	cartilage oligomeric matrix protein	6.78	13.812
205752_s_at	GSTM5	glutathione S-transferase mu 5	-3.649	8.269
205824_at	HSPB2	heat shock protein family B (small) member 2	-3.429	19.407
205828_at	MMP3	matrix metallopeptidase 3	3.596	5.657
205862_at	GREB1	growth regulation by estrogen in breast cancer 1	3.739	8.455
205895_s_at	NOLC1	nucleolar and coiled-body phosphoprotein 1	3.517	17.588
205913_at	PLIN1	perilipin 1	-5.633	9.046
205923_at	RELN	reelin	-4.341	9.966
205941_s_at	COL10A1	collagen type X alpha 1 chain	8.642	20.085
205991_s_at	PRRX1	paired related homeobox 1	3.06	6.528
206036_s_at	REL	REL proto-oncogene, NF-kB subunit	3.366	13.276
206061_s_at	DICER1	dicer 1, ribonuclease III	4.089	12.856
206075_s_at	CSNK2A1	casein kinase 2 alpha 1	3.761	15.503
206093_x_at	TNXB///TNXA	tenascin XB///tenascin XA (pseudogene)	-5.923	12.036
206113_s_at	RAB5A	RAB5A, member RAS oncogene family	4.11	14.974
206209_s_at	CA4	carbonic anhydrase 4	-4.52	13.804
206227_at	CILP	cartilage intermediate layer protein	4.098	5.533
206243_at	TIMP4	TIMP metallopeptidase inhibitor 4	-4.875	9.226
206262_at	ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide	-3.262	14.114
206453_s_at	NDRG2	NDRG family member 2	-3.088	11.959
206488_s_at	CD36	CD36 molecule	-4.862	7.656
206491_s_at	NAPA	NSF attachment protein alpha	3.01	10.07
206560_s_at	MIA	melanoma inhibitory activity	-3.592	11.919
206742_at	PIR-FIGF///FIGF	PIR-FIGF readthrough///c-fos induced growth factor	-4.937	16.225
206825_at	OXTR	oxytocin receptor	-5.756	14.203
206850_at	RASL10A	RAS like family 10 member A	-3.316	8.539
207092_at	LEP	leptin	-6.778	12.5
207108_s_at	NIPBL	NIPBL, cohesin loading factor	3.124	14.609
207134_x_at	TPSB2	tryptase beta 2 (gene/pseudogene)	4.364	8.41
207172_s_at	CDH11	cadherin 11	5.579	15.792
207173_x_at	CDH11	cadherin 11	4.235	12.507
207175_at	ADIPOQ	adiponectin, C1Q and collagen domain containing	-6.957	9.225
207265_s_at	KDELR3	KDEL endoplasmic reticulum protein retention receptor 3	3.989	18.061
207414_s_at	LOC100507472///PCSK6	uncharacterized LOC100507472///proprotein convertase subtilisin/kexin type 6	3.131	7.073
207549_x_at	CD46	CD46 molecule	4.952	15.836
207741_x_at	TPSAB1	tryptase alpha/beta 1	4.052	7.494
207782_s_at	PSEN1	presenilin 1	3.894	15.174
207791_s_at	RAB1A	RAB1A, member RAS oncogene family	3.908	12.715
207847_s_at	MUC1	mucin 1, cell surface associated	4.172	13.069
207980_s_at	CITED2	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2	3.488	8.044
208078_s_at	SIK1	salt inducible kinase 1	3.63	7.077
208097_s_at	TMX1	thioredoxin related transmembrane protein 1	3.149	9.018
208186_s_at	LIPE	lipase E, hormone sensitive type	-3.168	9.438
208383_s_at	PCK1	phosphoenolpyruvate carboxykinase 1	-3.467	8.153
208451_s_at	C4B_2///C4B///C4A	complement component 4B (Chido blood group), copy 2///complement component 4B (Chido blood group)///complement component 4A (Rodgers blood group)	3.252	8.533
208453_s_at	XPNPEP1	X-prolyl aminopeptidase 1	3.022	11.675
208527_x_at	HIST1H2BE	histone cluster 1, H2be	3.011	6.423
208546_x_at	HIST1H2BH	histone cluster 1, H2bh	3.376	7.657
208579_x_at	H2BFS	H2B histone family member S	4.477	9.006
208607_s_at	SAA2-SAA4///SAA2///SAA1	SAA2-SAA4 readthrough///serum amyloid A2///serum amyloid A1	-5.392	10.658
208609_s_at	TNXB///TNXA	tenascin XB///tenascin XA (pseudogene)	-3.991	9.088
208621_s_at	EZR	ezrin	4.177	12.48
208622_s_at	EZR	ezrin	5.388	19.858
208633_s_at	MACF1	microtubule-actin crosslinking factor 1	3.419	9.955
208654_s_at	CD164	CD164 molecule	3.063	10.093
208664_s_at	TTC3P1///TTC3	tetratricopeptide repeat domain 3 pseudogene 1///tetratricopeptide repeat domain 3	4.224	13.933
208703_s_at	APLP2	amyloid beta precursor like protein 2	3.115	6.489
208721_s_at	ANAPC5	anaphase promoting complex subunit 5	3.36	10.654
208744_x_at	HSPH1	heat shock protein family H (Hsp110) member 1	3.277	13.486
208750_s_at	MIR3620///ARF1	microRNA 3620///ADP ribosylation factor 1	5.602	15.021
208850_s_at	THY1	Thy-1 cell surface antigen	3.414	10.398
208852_s_at	CANX	calnexin	3.039	13.671
208867_s_at	CSNK1A1	casein kinase 1 alpha 1	4.214	15.706
208894_at	HLA-DRA	major histocompatibility complex, class II, DR alpha	3.037	8.437
208925_at	CLDND1	claudin domain containing 1	3.429	9.66
208936_x_at	LGALS8	galectin 8	3.101	9.096
208952_s_at	LARP4B	La ribonucleoprotein domain family member 4B	3.556	16.777
208953_at	LARP4B	La ribonucleoprotein domain family member 4B	3.643	14.405
209006_s_at	RSRP1	arginine and serine rich protein 1	3.66	12.659
209057_x_at	CDC5L	cell division cycle 5 like	-3.548	14.74
209070_s_at	RGS5	regulator of G-protein signaling 5	3.191	5.743
209074_s_at	FAM107A	family with sequence similarity 107 member A	-3.73	13.108
209101_at	CTGF	connective tissue growth factor	3.554	6.975
