MeSH Symptom Term	MeSH Disease Term	PubMed occurrence	TFIDF score
Asthenia	Chylothorax	1	2.0632192510535368
Asthenia	Pleurisy	1	2.0632192510535368
Asthenia	Sleep Apnea Syndromes	1	2.0632192510535368
Asthenia	Cough	1	2.0632192510535368
Asthenia	Dyspnea	4	8.252877004214147
Asthenia	Hyperventilation	1	2.0632192510535368
Asthenia	Respiratory Insufficiency	2	4.1264385021070735
Asthenia	Vertigo	4	8.252877004214147
Asthenia	Multiple Sclerosis	4	8.252877004214147
Asthenia	Multiple Sclerosis, Relapsing-Remitting	1	2.0632192510535368
Asthenia	Myasthenia Gravis	4	8.252877004214147
Asthenia	Dysautonomia, Familial	3	6.18965775316061
Asthenia	Giant Cell Arteritis	3	6.18965775316061
Asthenia	Autonomic Nervous System Diseases	9	18.56897325948183
Asthenia	Hypotension, Orthostatic	1	2.0632192510535368
Asthenia	Central Nervous System Diseases	4	8.252877004214147
Asthenia	Brain Diseases	11	22.695411761588904
Asthenia	Basal Ganglia Diseases	1	2.0632192510535368
Asthenia	Parkinson Disease	2	4.1264385021070735
Asthenia	Parkinson Disease, Postencephalitic	1	2.0632192510535368
Asthenia	Brain Damage, Chronic	1	2.0632192510535368
Asthenia	Cerebral Palsy	2	4.1264385021070735
Asthenia	Adrenoleukodystrophy	1	2.0632192510535368
Asthenia	Gaucher Disease	1	2.0632192510535368
Asthenia	Brain Injuries	16	33.01150801685659
Asthenia	Brain Concussion	5	10.316096255267684
Asthenia	Cerebellar Ataxia	1	2.0632192510535368
Asthenia	Ataxia Telangiectasia	2	4.1264385021070735
Asthenia	Cerebrovascular Disorders	3	6.18965775316061
Asthenia	Brain Ischemia	2	4.1264385021070735
Asthenia	Cerebral Infarction	1	2.0632192510535368
Asthenia	Ischemic Attack, Transient	1	2.0632192510535368
Asthenia	Vertebrobasilar Insufficiency	1	2.0632192510535368
Asthenia	Carotid Artery Diseases	1	2.0632192510535368
Asthenia	Intracranial Arteriosclerosis	10	20.63219251053537
Asthenia	Cerebral Hemorrhage	1	2.0632192510535368
Asthenia	Subarachnoid Hemorrhage	3	6.18965775316061
Asthenia	Stroke	1	2.0632192510535368
Asthenia	Dementia	11	22.695411761588904
Asthenia	Alzheimer Disease	1	2.0632192510535368
Asthenia	Epilepsy	10	20.63219251053537
Asthenia	Epilepsies, Partial	2	4.1264385021070735
Asthenia	Epilepsy, Generalized	2	4.1264385021070735
Asthenia	Epilepsy, Absence	1	2.0632192510535368
Asthenia	Migraine Disorders	2	4.1264385021070735
Asthenia	Hydrocephalus	2	4.1264385021070735
Asthenia	Empty Sella Syndrome	1	2.0632192510535368
Asthenia	Hypopituitarism	5	10.316096255267684
Asthenia	Thalamic Diseases	1	2.0632192510535368
Asthenia	Arachnoiditis	1	2.0632192510535368
Asthenia	Movement Disorders	2	4.1264385021070735
Asthenia	Akathisia, Drug-Induced	1	2.0632192510535368
Asthenia	Spinal Cord Diseases	2	4.1264385021070735
Asthenia	Amyotrophic Lateral Sclerosis	2	4.1264385021070735
Asthenia	Spinal Cord Compression	1	2.0632192510535368
Asthenia	Syringomyelia	1	2.0632192510535368
Asthenia	Cranial Nerve Diseases	1	2.0632192510535368
Asthenia	Strabismus	1	2.0632192510535368
Asthenia	Trigeminal Neuralgia	1	2.0632192510535368
Asthenia	Demyelinating Diseases	1	2.0632192510535368
Asthenia	Spastic Paraplegia, Hereditary	1	2.0632192510535368
Asthenia	Neural Tube Defects	1	2.0632192510535368
Asthenia	Spinal Dysraphism	1	2.0632192510535368
Asthenia	Amyloid Neuropathies, Familial	1	2.0632192510535368
Asthenia	Ataxia	1	2.0632192510535368
Asthenia	Hypokinesia	1	2.0632192510535368
Asthenia	Myoclonus	1	2.0632192510535368
Asthenia	Catatonia	1	2.0632192510535368
Asthenia	Aphasia	1	2.0632192510535368
Asthenia	Stuttering	1	2.0632192510535368
Asthenia	Delirium	2	4.1264385021070735
Asthenia	Consciousness Disorders	1	2.0632192510535368
Asthenia	Unconsciousness	1	2.0632192510535368
Asthenia	Syncope	3	6.18965775316061
Asthenia	Memory Disorders	3	6.18965775316061
Asthenia	Amnesia	2	4.1264385021070735
Asthenia	Mental Retardation	5	10.316096255267684
Asthenia	Down Syndrome	1	2.0632192510535368
Asthenia	Perceptual Disorders	1	2.0632192510535368
Asthenia	Hallucinations	1	2.0632192510535368
Asthenia	Psychomotor Disorders	1	2.0632192510535368
Asthenia	Apraxias	1	2.0632192510535368
Asthenia	Muscular Atrophy	3	6.18965775316061
Asthenia	Spasm	1	2.0632192510535368
Asthenia	Tetany	3	6.18965775316061
Asthenia	Pain	7	14.442534757374757
Asthenia	Back Pain	1	2.0632192510535368
Asthenia	Headache	4	8.252877004214147
Asthenia	Neck Pain	1	2.0632192510535368
Asthenia	Neuralgia	2	4.1264385021070735
Asthenia	Pain, Intractable	1	2.0632192510535368
Asthenia	Paralysis	2	4.1264385021070735
Asthenia	Reflex, Abnormal	1	2.0632192510535368
Asthenia	Dizziness	5	10.316096255267684
