Ensembl.ID,Gene_name,log2FoldChange,padj
ENSG00000164292,RHOBTB3,-1.30961749,0.001460784
ENSG00000113140,SPARC,-1.314404549,0.001442669
ENSG00000196639,HRH1,-1.317841696,0.005830294
ENSG00000128564,VGF,-1.319127084,0.000199084
ENSG00000095397,WHRN,-1.320706179,0.003094252
ENSG00000144681,STAC,-1.321566992,0.035916083
ENSG00000101000,PROCR,-1.321951551,0.009665467
ENSG00000067715,SYT1,-1.327219223,0.002947458
ENSG00000174996,KLC2,-1.327312694,0.020189392
ENSG00000142949,PTPRF,-1.329082742,0.015952061
ENSG00000253506,NACA2,-1.329631744,0.000775
ENSG00000127955,GNAI1,-1.338203068,0.036771195
ENSG00000198795,ZNF521,-1.339495043,0.004058132
ENSG00000108823,SGCA,-1.340301206,0.049490385
ENSG00000139197,PEX5,-1.346453934,0.000122534
ENSG00000108389,MTMR4,-1.350038039,0.000138415
ENSG00000115844,DLX2,-1.355524932,0.01691207
ENSG00000113645,WWC1,-1.357230238,0.010343007
ENSG00000100038,TOP3B,-1.363449579,0.02556575
ENSG00000081181,ARG2,-1.368476768,0.000994104
ENSG00000135480,KRT7,-1.374949183,0.00588759
ENSG00000117411,B4GALT2,-1.38394696,0.005492877
ENSG00000136379,ABHD17C,-1.384546385,0.001275328
ENSG00000165626,BEND7,-1.38479734,0.000167106
ENSG00000106976,DNM1,-1.394457216,0.003516188
ENSG00000137962,ARHGAP29,-1.397721017,0.001863793
ENSG00000270394,MTRNR2L13,-1.398483602,0.019163219
ENSG00000162849,KIF26B,-1.401876817,0.007725367
ENSG00000165533,TTC8,-1.40455824,0.043500213
ENSG00000172037,LAMB2,-1.408000115,0.003177021
ENSG00000181904,C5orf24,-1.408722294,0.000171527
ENSG00000158079,PTPDC1,-1.40897638,0.000960307
ENSG00000159588,CCDC17,-1.409009141,0.028420749
ENSG00000103494,RPGRIP1L,-1.410082291,0.011594946
ENSG00000166123,GPT2,-1.410204891,0.000212919
ENSG00000100116,GCAT,-1.411683098,0.004108757
ENSG00000168487,BMP1,-1.411873904,7.98E-05
ENSG00000101333,PLCB4,-1.413117382,0.029827481
ENSG00000214357,NEURL1B,-1.427082682,0.010203888
ENSG00000019144,PHLDB1,-1.42716928,3.93E-06
ENSG00000112210,RAB23,-1.427880653,0.009778354
ENSG00000130147,SH3BP4,-1.432795724,0.000323391
ENSG00000186260,MRTFB,-1.43426568,0.001958119
ENSG00000102904,TSNAXIP1,-1.439784872,0.028515362
ENSG00000144451,SPAG16,-1.440979994,0.001909399
ENSG00000174137,FAM53A,-1.445249842,0.018463705
ENSG00000151208,DLG5,-1.450260042,0.049106178
ENSG00000143545,RAB13,-1.451226413,1.49E-05
ENSG00000178498,DTX3,-1.458417266,0.022768549
ENSG00000145050,MANF,-1.462291612,1.68E-05
ENSG00000151729,SLC25A4,-1.464324774,0.024776546
ENSG00000179965,ZNF771,-1.464909471,0.023822389
ENSG00000177707,NECTIN3,-1.466315188,0.014893284
ENSG00000183579,ZNRF3,-1.469130657,0.019130114
ENSG00000107816,LZTS2,-1.471183059,2.68E-05
